date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,5.26,4740.844917946011,0.2599999999999998,0.2599999999999998,0
2024-01-02,3.74,4737.235444025094,0.0,0.2599999999999998,0
2024-01-03,5.77,4733.625970104176,0.7699999999999996,1.0299999999999994,0
2024-01-04,5.91,4730.016496183259,0.9100000000000001,1.9399999999999995,0
2024-01-05,5.75,4726.407022262341,0.75,2.6899999999999995,0
2024-01-06,7.04,4722.797548341423,2.04,4.7299999999999995,0
2024-01-07,4.8,4719.1880744205055,0.0,4.7299999999999995,0
2024-01-08,1.87,4715.578600499588,0.0,4.7299999999999995,0
2024-01-09,3.18,4711.9691265786705,0.0,4.7299999999999995,0
2024-01-10,4.79,4708.359652657753,0.0,4.7299999999999995,0
2024-01-11,1.79,4704.750178736836,0.0,4.7299999999999995,0
2024-01-12,4.83,4701.140704815918,0.0,4.7299999999999995,0
2024-01-13,3.38,4697.531230895,0.0,4.7299999999999995,0
2024-01-14,2.57,4693.921756974082,0.0,4.7299999999999995,0
2024-01-15,3.55,4690.312283053165,0.0,4.7299999999999995,0
2024-01-16,0.1,4686.702809132247,0.0,4.7299999999999995,0
2024-01-17,3.9,4683.09333521133,0.0,4.7299999999999995,0
2024-01-18,6.45,4679.815116617578,1.4500000000000002,6.18,0
2024-01-19,6.8,4676.536898023826,1.7999999999999998,7.9799999999999995,0
2024-01-20,2.73,4673.258679430074,0.0,7.9799999999999995,0
2024-01-21,4.6,4669.980460836322,0.0,7.9799999999999995,0
2024-01-22,7.1,4666.702242242571,2.0999999999999996,10.079999999999998,0
2024-01-23,5.04,4663.424023648819,0.040000000000000036,10.119999999999997,0
2024-01-24,0.65,4660.145805055066,0.0,10.119999999999997,0
2024-01-25,0.49,4656.867586461314,0.0,10.119999999999997,0
2024-01-26,1.62,4653.589367867563,0.0,10.119999999999997,0
2024-01-27,2.48,4650.311149273811,0.0,10.119999999999997,0
2024-01-28,2.8,4647.032930680059,0.0,10.119999999999997,0
2024-01-29,3.94,4643.754712086307,0.0,10.119999999999997,0
2024-01-30,5.9,4640.476493492555,0.9000000000000004,11.019999999999998,0
2024-01-31,7.08,4637.198274898803,2.08,13.099999999999998,0
2024-02-01,8.04,4633.920056305052,3.039999999999999,16.139999999999997,0
2024-02-02,2.31,4630.6418377113,0.0,16.139999999999997,0
2024-02-03,3.35,4621.762656094279,0.0,16.139999999999997,0
2024-02-04,3.24,4612.883474477259,0.0,16.139999999999997,0
2024-02-05,0.54,4604.004292860239,0.0,16.139999999999997,0
2024-02-06,0.5,4595.125111243218,0.0,16.139999999999997,0
2024-02-07,1.51,4586.245929626199,0.0,16.139999999999997,0
2024-02-08,2.58,4577.366748009178,0.0,16.139999999999997,0
2024-02-09,3.35,4568.487566392158,0.0,16.139999999999997,0
2024-02-10,4.1,4559.608384775138,0.0,16.139999999999997,0
2024-02-11,4.36,4550.729203158117,0.0,16.139999999999997,0
2024-02-12,3.64,4541.850021541098,0.0,16.139999999999997,0
2024-02-13,6.59,4532.970839924077,1.5899999999999999,17.729999999999997,0
2024-02-14,8.57,4524.0916583070575,3.5700000000000003,21.299999999999997,0
2024-02-15,11.82,4515.212476690037,6.82,28.119999999999997,0
2024-02-16,7.06,4506.333295073016,2.0599999999999996,30.179999999999996,0
2024-02-17,5.29,4497.454113455997,0.29000000000000004,30.469999999999995,0
2024-02-18,9.66,4488.574931838976,4.66,35.129999999999995,0
2024-02-19,13.37,4489.517489278668,8.37,43.49999999999999,0
2024-02-20,15.3,4490.460046718359,10.3,53.8,0
2024-02-21,6.49,4491.402604158051,1.4900000000000002,55.29,0
2024-02-22,3.54,4492.345161597743,0.0,55.29,0
2024-02-23,0.9,4493.287719037435,0.0,55.29,0
2024-02-24,2.09,4494.230276477127,0.0,55.29,0
2024-02-25,1.94,4495.172833916818,0.0,55.29,0
2024-02-26,4.62,4496.1153913565095,0.0,55.29,0
2024-02-27,3.37,4497.057948796201,0.0,55.29,0
2024-02-28,4.43,4498.000506235892,0.0,55.29,0
2024-02-29,5.15,4498.943063675584,0.15000000000000036,55.44,0
2024-03-01,7.24,4499.885621115276,2.24,57.68,0
2024-03-02,3.08,4500.828178554968,0.0,57.68,0
2024-03-03,3.81,4501.77073599466,0.0,57.68,0
2024-03-04,6.1,4502.713293434351,1.0999999999999996,58.78,0
2024-03-05,3.56,4503.655850874043,0.0,58.78,0
2024-03-06,3.0,4504.3319695886785,0.0,58.78,0
2024-03-07,4.05,4505.008088303313,0.0,58.78,0
2024-03-08,4.35,4505.684207017949,0.0,58.78,0
2024-03-09,2.67,4506.360325732585,0.0,58.78,0
2024-03-10,3.93,4507.03644444722,0.0,58.78,0
2024-03-11,5.26,4507.7125631618555,0.2599999999999998,59.04,0
2024-03-12,7.78,4508.38868187649,2.7800000000000002,61.82,0
2024-03-13,5.77,4509.064800591126,0.7699999999999996,62.59,0
2024-03-14,6.36,4509.740919305762,1.3600000000000003,63.95,0
2024-03-15,8.0,4510.417038020397,3.0,66.95,0
2024-03-16,10.2,4511.093156735033,5.199999999999999,72.15,0
2024-03-17,12.88,4511.7692754496675,7.880000000000001,80.03,0
2024-03-18,5.34,4512.445394164303,0.33999999999999986,80.37,0
2024-03-19,4.96,4513.121512878939,0.0,80.37,0
2024-03-20,6.3,4513.797631593574,1.2999999999999998,81.67,0
2024-03-21,2.77,4514.47375030821,0.0,81.67,0
2024-03-22,4.01,4533.321392785535,0.0,81.67,0
2024-03-23,3.77,4552.16903526286,0.0,81.67,0
2024-03-24,8.34,4571.0166777401855,3.34,85.01,0
2024-03-25,10.24,4589.864320217511,5.24,90.25,0
2024-03-26,7.93,4608.711962694836,2.9299999999999997,93.18,0
2024-03-27,7.79,4627.559605172161,2.79,95.97000000000001,0
2024-03-28,8.23,4646.407247649487,3.2300000000000004,99.20000000000002,0
2024-03-29,14.77,4665.254890126813,9.77,108.97000000000001,0
2024-03-30,14.92,4684.102532604138,9.92,118.89000000000001,0
